Date,Open,High,Low,Close,Adj Close,Volume
2020-02-03,39.799999,41.080002,39.669998,40.669998,40.345154,6336100
2020-02-04,41.660000,42.080002,40.419998,40.520000,40.196354,5549600
2020-02-05,40.840000,41.720001,40.840000,41.369999,41.039566,5252500
2020-02-06,41.919998,43.580002,41.660000,42.840000,42.497826,6483000
2020-02-07,42.869999,43.369999,41.099998,41.099998,40.771721,3938500
2020-02-10,41.080002,42.299999,40.320000,41.529999,41.198284,4665200
2020-02-11,42.029999,43.060001,41.750000,43.049999,42.706146,3279100
2020-02-12,43.400002,45.180000,43.380001,44.560001,44.204086,6359500
2020-02-13,44.299999,45.689999,43.200001,45.570000,45.206013,5700800
2020-02-14,45.759998,47.500000,45.570000,45.570000,45.206013,8183400
2020-02-17,45.650002,46.580002,44.939999,45.779999,45.414341,3932700
2020-02-18,45.599998,45.700001,44.500000,44.700001,44.342968,7730100
2020-02-19,46.000000,49.279999,46.000000,48.820000,48.430054,21967000
2020-02-20,48.049999,49.599998,47.490002,47.490002,47.110687,7249800
2020-02-21,47.430000,50.130001,47.000000,49.799999,49.402229,8512700
2020-02-26,null,null,null,null,null,null
2020-02-27,46.810001,46.810001,43.689999,43.970001,43.766235,11766500
2020-02-28,43.750000,44.680000,41.650002,43.150002,42.950035,12750900
2020-03-02,43.900002,46.990002,43.259998,46.990002,46.772240,9975000
2020-03-03,47.389999,49.570000,47.040001,47.919998,47.697926,9693600
2020-03-04,49.500000,49.799999,47.840000,48.459999,48.235416,6111700
2020-03-05,48.189999,48.700001,45.599998,46.700001,46.483582,6485300
2020-03-06,44.009998,45.110001,43.349998,44.020000,43.816002,9383300
2020-03-09,40.009998,41.490002,39.020000,39.750000,39.565792,8066600
2020-03-10,42.000000,43.150002,40.400002,41.910000,41.715775,8531200
2020-03-11,40.849998,41.939999,37.009998,39.200001,39.018337,7191400
2020-03-12,36.000000,36.070000,32.529999,33.000000,32.847073,7630000
2020-03-13,37.500000,38.610001,31.900000,34.529999,34.369972,12024300
2020-03-16,31.680000,32.180000,27.410000,27.410000,27.282974,9084000
2020-03-17,28.510000,29.750000,27.500000,28.680000,28.547089,12629900
2020-03-18,25.900000,28.389999,25.110001,26.469999,26.347330,11983200
